source,target,weight,label
n425,n417,0.64,follows
n855,n932,0.33,knows
n817,n856,0.18,follows
n191,n202,0.97,follows
n937,n849,0.37,follows
n28,n10,0.7,follows
n814,n695,0.85,knows
n259,n237,0.61,follows
n823,n695,0.82,knows
n425,n473,0.03,follows
n672,n692,0.87,knows
n574,n587,0.13,follows
n297,n235,1,knows
n77,n86,0.19,knows
n463,n473,0.93,knows
n843,n765,0.44,knows
n401,n258,0.54,knows
n363,n268,0.09,follows
n9,n0,0.91,follows
n837,n876,0.11,follows
n910,n865,0.9,follows
n470,n392,0.95,follows
n390,n381,0.04,follows
n192,n234,0.43,follows
n654,n635,0.58,follows
n371,n460,0.37,follows
n581,n715,0.5,follows
n284,n295,0.09,knows
n15,n5,0.18,knows
n573,n562,0.38,follows
n27,n28,0.2,follows
n678,n548,0.57,knows
n583,n647,0.3,knows
n264,n314,0.41,follows
n779,n848,0.75,follows
n779,n783,0.37,knows
n739,n777,0.36,knows
n863,n852,0.16,knows
n249,n263,0.75,follows
n945,n941,0.31,knows
n241,n293,0.19,knows
n4,n71,0.81,knows
n192,n180,0.15,follows
n364,n242,0.6,knows
n887,n258,0.95,follows
n386,n335,0.12,knows
n552,n539,0.56,knows
n676,n694,0.87,knows
n107,n0,0.05,follows
n711,n695,0.71,follows
n757,n827,0.48,knows
n995,n112,0.86,knows
n810,n924,0.14,knows
n958,n941,0.02,follows
n267,n235,0.69,knows
n622,n612,0.23,knows
n24,n0,0.19,knows
n244,n235,0.07,knows
n282,n235,0.84,follows
n535,n474,0.03,knows
n58,n0,0.55,follows
n644,n618,0.5,knows
n628,n591,0.62,follows
n276,n732,0.67,knows
n530,n507,0.75,follows
n576,n899,0.82,follows
n792,n630,0.18,knows
n27,n41,0.39,follows
n40,n80,0,follows
n162,n102,0.78,follows
n753,n696,0.26,follows
n432,n473,0.6,knows
n145,n820,0.61,follows
n866,n603,0.82,knows
n744,n718,0.99,follows
n702,n741,0.89,knows
n357,n296,0.85,knows
n813,n820,0.28,knows
n462,n450,0.08,knows
n724,n695,0.28,knows
n280,n315,0.19,follows
n761,n710,0.32,knows
n769,n695,0.33,knows
n436,n444,0.96,follows
n410,n473,0.89,follows
n400,n320,0.74,knows
n459,n456,0.17,follows
n607,n646,0.77,knows
n729,n695,0.48,knows
n634,n606,0.45,knows
n936,n940,0.84,follows
n701,n730,0.43,follows
n811,n767,0.12,knows
n914,n836,1,follows
n975,n993,0.27,knows
n479,n474,0.66,knows
n888,n825,0.97,follows
n526,n580,0.32,follows
n768,n784,0.85,follows
n452,n473,0.64,follows
n836,n731,0.95,follows
n881,n884,0.16,knows
n797,n730,0.49,follows
n632,n561,0.26,knows
n954,n861,0.1,follows
n91,n199,0.48,follows
n738,n702,0.42,follows
n835,n729,0.35,follows
n644,n694,0.06,follows
n711,n763,0.3,follows
n745,n742,0.06,knows
n40,n88,0.12,follows
n411,n323,0.94,follows
n671,n675,0.84,knows
n626,n675,0.07,knows
n224,n216,0.49,follows
n917,n926,0.93,knows
n492,n486,0.3,follows
n289,n269,0.37,knows
n635,n556,0.05,follows
n585,n671,0.99,follows
n191,n108,0.64,knows
n7,n0,0.64,knows
n94,n162,0.45,follows
n840,n843,1,knows
n678,n694,0.8,knows
n934,n940,0.92,knows
n84,n154,0.36,follows
n949,n942,0.22,knows
n147,n105,0.98,follows
n28,n132,0.08,follows
n864,n940,0.65,follows
n361,n235,0.38,follows
n419,n357,0.04,knows
n372,n335,0.6,knows
n425,n217,0.26,follows
n871,n824,0.41,knows
n938,n940,0.8,follows
n656,n608,0.3,follows
n567,n560,0.96,follows
n562,n591,0.14,follows
n976,n941,0.29,follows
n35,n3,0.98,follows
n343,n304,0.31,follows
n25,n0,0.64,knows
n658,n694,0.71,follows
n767,n695,0.98,knows
n921,n939,0.75,knows
n121,n173,0.12,follows
n591,n694,0.41,follows
n897,n916,0.9,knows
n125,n122,0.73,knows
n85,n46,0.76,follows
n667,n599,0.68,follows
n699,n695,0.13,follows
n583,n543,0.26,knows
n295,n235,0.05,follows
n466,n392,0.95,follows
n193,n234,0.81,knows
n461,n473,0.3,knows
n592,n610,0.26,follows
n648,n636,0.61,follows
n658,n676,0.4,knows
n315,n341,0.77,follows
n902,n849,0.89,knows
n297,n276,0.3,follows
n497,n547,0.46,knows
n32,n152,0.43,follows
n924,n923,0.23,follows
n757,n704,0.99,knows
n858,n937,0.51,knows
n858,n816,0.25,knows
n971,n941,0.47,knows
n455,n30,0,knows
n12,n56,0.01,follows
n166,n151,0.72,knows
n226,n234,0.89,knows
n142,n127,0.69,follows
n118,n198,0.67,knows
n580,n476,0.41,follows
n521,n587,0.78,knows
n574,n474,0.93,follows
n28,n0,0.15,knows
n886,n934,0.45,follows
n180,n234,0.51,knows
n17,n0,0.93,knows
n887,n867,0.38,follows
n902,n869,0.22,knows
n607,n600,0.14,follows
n891,n920,0.86,follows
n823,n1019,0.72,follows
n786,n733,0.62,follows
n925,n935,0.77,knows
n437,n412,0.06,knows
n713,n695,0.14,follows
n139,n207,0.13,follows
n236,n72,0.55,knows
n229,n185,0.43,follows
n277,n330,0.84,follows
n717,n695,0.44,follows
n559,n477,0.96,follows
n22,n41,0.94,knows
n970,n941,0.49,follows
n841,n695,0.47,knows
n795,n802,0.16,knows
n928,n940,0.73,follows
n810,n602,0.1,knows
n34,n175,0.87,knows
n863,n809,0.95,knows
n27,n47,0.64,follows
n408,n367,0.05,knows
n143,n27,0.01,follows
n400,n426,0.45,follows
n872,n139,0.25,knows
n142,n133,0.95,follows
n889,n909,0.71,knows
n665,n615,0.36,follows
n190,n144,0.49,follows
n427,n462,0.87,knows
n500,n563,0.59,follows
n734,n608,0.89,follows
n249,n541,0.77,knows
n532,n484,0.79,follows
n380,n450,0.62,follows
n83,n190,0.94,follows
n829,n816,0.36,follows
n954,n963,0.5,knows
n73,n194,0.99,knows
n569,n809,0.45,knows
n783,n695,0.48,follows
n537,n630,0.19,follows
n593,n645,0.07,knows
n16,n0,0.29,follows
n940,n941,0.51,knows
n449,n473,0.1,follows
n598,n582,0.14,follows
n150,n166,0.97,follows
n756,n835,0.67,knows
n209,n234,0.39,knows
n424,n286,0.46,knows
n2,n19,0.14,knows
n942,n952,0.74,knows
n498,n474,0.72,follows
n639,n569,0.92,knows
n697,n695,0.44,follows
n743,n835,0.7,knows
n413,n354,0.71,follows
n407,n20,0.46,follows
n83,n93,0.15,follows
n585,n574,0.22,knows
n298,n379,0.28,follows
n247,n235,0.19,knows
n427,n473,0.25,follows
n242,n235,0.16,follows
n164,n228,0.27,follows
n568,n580,0.49,knows
n604,n491,0.67,follows
n710,n695,0.45,knows
n821,n927,0.8,follows
n31,n59,0.21,follows
n509,n474,0.69,knows
n466,n331,0.71,follows
n500,n474,0.23,follows
n693,n694,0.28,follows
n12,n112,0.31,follows
n330,n235,0.94,knows
n703,n695,0.55,follows
n274,n264,0.88,knows
n232,n166,0.13,knows
n707,n728,0.75,knows
n166,n211,0.36,follows
n692,n652,0.19,knows
n333,n338,0.58,follows
n125,n51,0.43,follows
n888,n924,0.9,knows
n726,n695,0.69,follows
n384,n395,0.47,knows
n711,n696,0.01,follows
n142,n234,0.07,knows
n828,n810,0.47,knows
n317,n322,0.36,knows
n393,n358,0.66,knows
n299,n235,0.68,knows
n472,n428,0.11,follows
n647,n687,0.3,knows
n395,n433,0.78,knows
n404,n373,0.21,knows
n240,n356,0.85,follows
n891,n897,0.85,follows
n234,n217,0.9,knows
n1,n112,0.75,follows
n489,n694,0.45,knows
n955,n941,0.71,knows
n910,n836,0.83,follows
n69,n14,0.74,follows
n89,n91,0.94,follows
n918,n940,0.5,follows
n461,n387,0.04,follows
n845,n917,0.08,knows
n844,n936,0.49,follows
n137,n123,0.22,knows
n991,n988,0.71,follows
n567,n687,0.38,knows
n822,n771,0.35,knows
n978,n977,0.48,follows
n932,n940,0.3,follows
n844,n770,0.01,knows
n647,n649,0.64,follows
n924,n940,0.59,follows
n837,n940,0.62,follows
n797,n756,0.4,knows
